,accuracy,block,penalDist,penaltyPos,penaltyVal,pokePos,pokeTime,pokeType,rewardVal,score,sepDist,targDist,targSize,targetPos,trial,,
161,-2,4,63.5688603,"[32.0, 0.0]",0,"[-28, 21]",0.985032309,4,1,0,32,35,64,"[0.0, 0.0]",18,,
162,1,4,43.17406629,"[132.0, 0.0]",-5,"[90, -10]",0.951061917,1,1,1,32,14.14213562,64,"[100.0, 0.0]",17,,
163,1,4,67.68308504,"[144.0, 100.0]",-1,"[78, 115]",0.834688702,1,1,1,44,26.62705391,64,"[100.0, 100.0]",16,,
164,1,4,50.15974482,"[44.0, 0.0]",-5,"[-6, 4]",0.918058064,1,1,1,44,7.211102551,64,"[0.0, 0.0]",15,,
165,1,4,49.81967483,"[-56.0, -100.0]",0,"[-105, -91]",0.934292141,1,1,1,44,10.29563014,64,"[-100.0, -100.0]",14,,
166,,4,,"[56.0, -100.0]",-1,,,5,1,-7,-44,,64,"[100.0, -100.0]",13,,
167,1,4,70,"[-144.0, 0.0]",-5,"[-74, 0]",0.950899074,1,1,1,-44,26,64,"[-100.0, 0.0]",12,,
168,1,4,56.5154846,"[-56.0, 0.0]",-1,"[-111, -13]",0.917441546,1,1,1,44,17.02938637,64,"[-100.0, 0.0]",11,,
169,1,4,51,"[32.0, -100.0]",0,"[-19, -100]",0.934263599,1,1,1,32,19,64,"[0.0, -100.0]",10,,
170,1,4,61.07372594,"[-56.0, 100.0]",0,"[-117, 97]",0.917448156,1,1,1,44,17.2626765,64,"[-100.0, 100.0]",9,,
171,1,4,65.3911309,"[-44.0, -100.0]",-5,"[16, -74]",0.801272335,1,1,1,-44,30.52867504,64,"[0.0, -100.0]",8,,
172,1,4,37.85498646,"[132.0, -100.0]",-1,"[95, -108]",0.900508627,1,1,1,32,9.433981132,64,"[100.0, -100.0]",7,,
173,0,4,28.63564213,"[68.0, 0.0]",0,"[96, -6]",0.93459349,3,1,1,-32,7.211102551,64,"[100.0, 0.0]",6,,
174,1,4,56.79788728,"[-144.0, 100.0]",0,"[-93, 75]",0.901071366,1,1,1,-44,25.96150997,64,"[-100.0, 100.0]",5,,
175,1,4,36.05551275,"[-132.0, 100.0]",-5,"[-96, 102]",0.917683706,1,1,1,-32,4.472135955,64,"[-100.0, 100.0]",4,,
176,1,4,42.48529157,"[-32.0, -100.0]",-1,"[6, -81]",0.834706128,1,1,1,-32,19.92485885,64,"[0.0, -100.0]",3,,
177,1,4,54.74486277,"[-144.0, 0.0]",-1,"[-90, -9]",0.90030192,1,1,1,-44,13.45362405,64,"[-100.0, 0.0]",2,,
178,1,4,41.67733197,"[32.0, 100.0]",-5,"[-4, 121]",0.984055554,1,1,1,32,21.37755833,64,"[0.0, 100.0]",1,,
